"A","B","C","D","E","F","G","H","I"
5,2,64,43,21,46,38,86,58
18,22,32,63,24,92,56,38,71
14,27,32,33,20,60,62,48,99
9,10,10,33,19,35,29,106,100
9,20,32,1,29,30,27,69,118
13,1,34,46,6,33,28,63,80
10,37,22,44,73,31,87,29,68
23,14,7,27,47,46,39,65,80
23,19,24,28,43,64,49,50,60
0,16,17,48,42,41,31,42,21
3,32,25,28,19,36,87,54,61
0,0,16,36,28,52,40,131,77
8,62,0,14,56,38,33,74,57
0,37,22,25,45,39,4,72,64
0,43,37,31,26,41,62,51,65
6,36,40,54,19,27,38,74,58
6,21,29,20,24,31,66,104,40
17,12,20,51,33,38,51,41,54
25,21,28,21,39,35,37,34,89
19,23,27,69,46,57,49,34,75
10,3,44,16,35,27,55,72,42
1,32,35,28,35,40,36,59,48
3,9,26,36,26,67,26,107,53
15,16,19,35,57,21,38,56,35
3,11,29,17,35,23,44,70,75
14,26,35,27,24,8,61,62,77
23,4,17,36,29,98,55,63,78
5,8,6,32,83,57,26,56,51
27,40,26,28,15,45,74,77,38
5,41,23,41,58,33,71,72,74
18,8,40,37,36,47,30,46,54
1,4,20,33,39,29,38,38,99
6,7,35,37,44,45,22,62,51
3,5,10,24,27,26,44,44,40
2,0,22,23,13,58,25,47,46
19,23,35,29,14,67,52,73,97
7,11,15,41,55,45,73,49,55
0,29,38,3,32,45,33,58,66
15,24,22,55,48,71,29,48,78
3,19,5,31,30,27,50,46,51
0,25,21,48,44,24,27,41,49
5,38,38,34,36,42,27,92,55
5,5,18,28,28,26,45,56,106
18,48,21,25,24,72,26,74,45
14,19,23,41,31,30,27,86,59
0,51,5,54,58,42,47,40,63
27,3,25,27,31,55,31,69,70
7,28,14,33,28,71,44,51,48
15,17,15,17,20,24,39,53,28
4,25,42,25,11,36,76,65,75
33,39,16,11,58,82,64,53,98
6,31,6,44,36,60,32,35,38
15,41,11,33,49,69,46,85,55
5,8,19,32,22,24,57,87,84
13,42,26,26,69,34,97,55,54
0,43,27,53,39,46,19,60,55
8,9,18,9,26,70,47,53,52
28,32,24,36,23,29,80,57,79
10,24,19,18,56,26,64,58,85
21,14,20,21,42,28,78,59,54
3,3,27,28,53,13,30,30,75
9,20,28,18,32,41,46,73,99
0,27,39,13,51,56,30,35,57
