"A","B","C","D","E","F","G","H","I"
0,2,5,22,7,9,5,41,29
4,15,7,20,22,6,10,4,9
0,1,10,26,1,17,22,22,25
0,13,13,1,24,20,17,7,66
4,13,5,9,22,19,27,22,8
3,3,13,3,13,24,20,10,23
0,14,10,10,7,52,16,32,21
0,22,10,36,41,9,35,22,12
0,10,9,30,2,7,29,26,6
0,3,12,7,6,2,8,3,34
0,11,1,1,18,11,6,4,15
0,21,6,15,2,34,30,15,3
7,7,7,17,6,24,3,19,6
6,13,11,17,9,22,12,21,10
9,11,22,15,4,24,20,32,4
6,7,17,1,16,18,14,10,23
0,18,22,16,13,36,9,22,20
5,13,1,18,13,17,3,38,16
0,7,6,24,12,11,5,41,21
3,13,2,25,25,22,18,24,34
0,23,2,14,8,26,14,24,4
0,3,3,23,4,5,6,25,29
0,6,4,15,15,14,26,30,26
6,6,3,9,10,42,25,16,54
0,7,5,1,13,18,22,40,4
0,7,2,2,7,23,11,31,71
0,10,11,7,3,33,10,14,34
0,15,1,42,8,18,1,3,40
0,9,9,24,10,7,4,53,10
5,5,24,3,27,2,10,11,8
9,6,13,3,18,8,6,26,14
6,4,6,15,25,32,12,24,31
0,6,4,2,5,9,2,4,31
8,10,2,14,17,24,8,2,30
0,31,12,12,5,17,22,47,32
2,19,10,19,5,9,30,8,23
0,0,5,2,2,31,1,24,22
3,6,24,12,17,10,42,6,27
15,8,21,2,11,35,17,66,27
0,2,3,6,27,33,18,10,44
1,2,2,8,9,15,43,8,25
4,17,17,4,17,4,13,19,24
10,12,4,4,10,11,9,15,39
0,5,4,11,11,24,5,38,9
0,4,4,10,10,16,17,36,4
0,3,4,11,33,23,28,10,29
12,6,18,13,7,8,10,10,14
0,6,10,9,27,14,26,50,32
6,6,12,3,11,20,14,3,6
5,27,14,14,10,5,12,19,3
4,4,4,9,24,2,29,33,14
0,7,9,23,25,17,19,29,9
25,5,29,1,14,2,35,22,8
6,5,4,1,14,17,28,3,45
3,3,7,14,23,37,5,2,6
0,9,9,6,14,32,27,22,7
2,8,29,1,16,37,57,33,18
0,3,3,9,5,5,27,12,17
0,5,10,4,29,13,6,17,49
0,1,7,7,11,12,12,3,9
8,15,15,5,14,18,12,33,29
12,7,15,11,12,12,11,17,24
0,0,0,21,1,14,11,16,11
6,6,5,5,9,3,41,16,32
5,7,32,2,7,6,32,10,22
11,20,6,16,27,21,26,16,44
2,12,7,14,14,17,45,23,1
0,0,10,25,15,4,12,36,10
7,2,2,10,10,16,6,41,20
3,13,30,16,11,22,22,1,17
7,7,10,14,12,7,10,22,18
0,13,22,4,10,17,10,14,75
10,2,21,13,13,10,4,23,33
1,24,13,3,19,31,30,7,10
0,2,9,8,11,10,18,8,11
0,1,1,7,12,1,22,6,15
0,4,15,7,15,7,31,25,70
10,15,5,8,14,40,3,9,29
3,13,6,28,30,44,10,25,18
11,18,20,10,24,24,31,9,21
0,0,20,10,8,43,19,30,14
2,7,6,30,1,4,20,20,10
0,0,21,13,32,29,30,34,21
2,4,4,4,8,8,15,13,13
6,6,5,17,22,9,55,14,30
5,3,1,21,8,39,6,11,6
4,4,10,6,6,8,17,26,28
0,5,2,2,6,26,12,23,21
0,8,17,8,20,23,56,21,5
3,14,8,8,28,22,37,11,46
0,5,3,1,15,12,6,16,45
24,4,11,2,36,25,16,14,17
2,13,16,1,2,24,42,37,19
16,9,18,6,2,20,20,53,10
6,21,21,15,7,26,28,6,33
16,24,4,10,30,5,21,36,10
2,9,4,17,20,16,5,34,27
4,4,5,1,33,13,26,9,44
12,18,18,20,15,30,11,24,42
0,14,4,26,4,15,14,22,9
0,12,7,11,25,1,26,18,11
7,7,15,32,16,12,39,13,8
1,1,9,2,10,19,15,17,3
2,24,8,20,18,22,24,44,17
13,11,7,10,15,2,3,26,17
1,30,5,10,7,29,29,31,27
11,2,13,15,16,21,36,15,8
2,16,17,14,3,12,14,9,60
0,6,4,25,16,13,35,14,14
16,5,5,12,6,5,16,11,29
0,1,1,17,21,23,21,18,10
0,6,6,36,31,6,20,45,11
0,3,15,15,21,11,7,65,19
0,11,11,11,3,29,11,23,17
0,7,8,18,18,5,22,49,20
2,8,19,6,5,40,29,6,12
2,9,17,12,23,23,11,20,16
0,3,15,1,34,3,26,15,5
0,15,8,40,40,1,10,33,17
4,7,15,13,11,14,14,23,17
5,11,1,20,26,35,20,42,11
3,5,8,2,27,3,36,25,15
0,6,13,2,26,8,11,58,5
