"A","B","C","D","E","F","G","H","I"
2,15,12,29,32,12,34,12,26
0,7,9,23,19,30,40,9,30
18,15,6,22,18,62,29,27,36
12,13,12,14,4,23,15,42,45
0,10,2,14,25,35,29,36,16
5,13,15,34,9,20,29,37,52
16,5,4,19,12,31,36,22,31
8,2,9,17,5,12,15,35,22
8,3,17,27,10,6,30,43,61
4,11,9,17,23,6,30,53,35
1,0,12,39,15,23,34,21,29
10,2,18,13,15,31,44,22,44
0,10,15,6,29,22,21,37,37
0,12,26,12,25,15,68,18,25
0,1,8,19,20,19,36,20,29
0,2,11,41,19,15,22,38,55
7,16,17,24,12,29,38,55,42
0,29,6,11,11,16,27,28,67
0,18,12,19,33,32,46,45,25
0,15,4,17,11,9,7,30,33
0,18,7,37,57,22,36,15,44
5,13,8,4,39,19,16,48,35
3,29,42,20,17,24,37,11,51
2,23,5,25,23,23,20,39,14
6,4,6,28,30,22,24,33,59
12,22,14,19,17,18,44,44,29
1,22,9,3,43,5,46,54,33
13,16,10,30,10,33,36,19,44
2,15,13,31,32,35,22,20,31
20,5,10,10,29,16,34,54,27
1,11,9,11,19,14,9,40,72
0,12,1,18,27,24,5,30,54
0,14,2,16,28,30,22,56,32
4,9,9,15,16,10,43,58,16
1,1,14,19,21,7,13,45,42
3,6,4,24,21,13,19,18,33
7,10,16,19,11,24,29,27,33
2,3,3,34,12,31,18,36,18
3,12,16,15,33,34,21,49,64
7,13,19,15,26,37,42,23,17
0,19,13,12,15,29,69,18,22
12,9,5,11,12,12,7,22,27
3,7,2,20,25,38,11,41,28
0,10,5,15,14,30,16,55,44
11,8,18,28,18,12,27,25,8
2,8,11,17,11,20,45,36,40
2,25,17,4,17,29,16,17,33
0,11,4,21,26,29,18,31,13
4,16,17,12,22,18,29,15,14
1,29,4,20,34,32,36,17,44
0,20,11,26,49,24,59,33,18
6,7,1,22,29,5,7,41,17
11,24,26,0,10,6,50,10,15
0,5,28,24,5,18,24,34,43
14,14,5,10,10,12,38,29,43
1,20,11,24,17,12,13,61,23
2,11,11,2,26,14,15,21,6
3,4,14,29,9,31,13,11,39
3,10,6,24,21,43,17,65,34
10,7,12,13,31,35,23,9,22
3,28,1,24,33,23,40,33,41
